                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0338,                  1.118,                 1.0309,                0.47245,                0.30927,                0.29964,                0.22352,                 1.0833,                 2.0358,                 1.0574,             0.00031086,             0.00031086,             0.00031086
                     35,                  1.026,                 1.0967,                 1.0191,                0.54766,                 0.2631,                0.29535,                0.22168,                 1.0596,                  2.011,                 1.0482,             0.00030635,             0.00030635,             0.00030635
                     36,                 1.0068,                 1.0601,                 1.0221,                0.48556,                0.30244,                0.29325,                0.21873,                 1.0682,                 1.9603,                 1.0522,             0.00030185,             0.00030185,             0.00030185
                     37,                 1.0201,                 1.0831,                 1.0182,                0.59711,                0.28358,                0.31706,                0.23577,                 1.0759,                 1.9879,                  1.062,             0.00029734,             0.00029734,             0.00029734
                     38,                 1.0065,                 1.0471,                 1.0189,                0.57744,                0.30621,                0.32141,                0.23784,                 1.0859,                 1.9977,                 1.0647,             0.00029284,             0.00029284,             0.00029284
                     39,                0.99615,                 1.0305,                 1.0193,                0.60225,                0.27655,                0.31601,                0.23613,                 1.0698,                 1.9515,                 1.0604,             0.00028833,             0.00028833,             0.00028833
                     40,                 1.0024,                 1.0183,                 1.0183,                0.62678,                0.27709,                0.30925,                0.23388,                 1.0596,                 2.0101,                 1.0547,             0.00028383,             0.00028383,             0.00028383
                     41,                0.99194,                0.99234,                 1.0142,                0.53463,                0.30444,                0.31712,                 0.2386,                  1.046,                 1.9839,                 1.0473,             0.00027932,             0.00027932,             0.00027932
                     42,                0.99359,                0.99651,                 1.0227,                0.64025,                0.27764,                 0.3142,                0.23731,                 1.0412,                 2.0183,                 1.0454,             0.00027482,             0.00027482,             0.00027482
                     43,                0.98415,                0.98047,                 1.0105,                0.61053,                0.29431,                0.32391,                0.24191,                 1.0425,                 1.9637,                 1.0519,             0.00027032,             0.00027032,             0.00027032
                     44,                0.97233,                0.96326,                 1.0028,                0.61131,                0.29386,                0.32683,                0.24855,                 1.0315,                 1.9698,                 1.0467,             0.00026581,             0.00026581,             0.00026581
                     45,                0.96399,                0.94183,                 1.0011,                0.61064,                0.30999,                0.33272,                0.25184,                 1.0442,                 1.9091,                 1.0501,             0.00026131,             0.00026131,             0.00026131
                     46,                0.95577,                0.94011,                0.99984,                0.60216,                0.30352,                0.33425,                 0.2513,                 1.0437,                 1.9161,                 1.0535,              0.0002568,              0.0002568,              0.0002568
                     47,                0.95809,                0.91852,                 1.0048,                0.58045,                0.30501,                0.32673,                0.24819,                  1.036,                 1.9378,                 1.0505,              0.0002523,              0.0002523,              0.0002523
                     48,                0.96396,                0.91893,                 1.0077,                0.59956,                0.31101,                0.34869,                0.26303,                  1.038,                 1.8539,                 1.0541,             0.00024779,             0.00024779,             0.00024779
                     49,                0.95675,                 0.9094,                 1.0003,                 0.6121,                0.30714,                0.33416,                0.25503,                 1.0177,                 1.8841,                 1.0355,             0.00024329,             0.00024329,             0.00024329
                     50,                0.93441,                0.88177,                0.98349,                0.59812,                0.30381,                0.32764,                0.24985,                  1.023,                 1.9594,                 1.0427,             0.00023878,             0.00023878,             0.00023878
                     51,                0.95575,                0.87929,                0.99249,                0.62892,                0.30236,                0.33728,                0.25456,                 1.0147,                 1.8798,                 1.0382,             0.00023428,             0.00023428,             0.00023428
                     52,                0.93516,                0.88083,                0.99407,                0.57281,                0.32212,                 0.3408,                 0.2581,                  1.034,                 1.8899,                 1.0458,             0.00022978,             0.00022978,             0.00022978
                     53,                0.92508,                0.86203,                0.98755,                0.57279,                0.31294,                0.33949,                0.25704,                 1.0252,                 1.9289,                  1.032,             0.00022527,             0.00022527,             0.00022527
                     54,                0.91776,                0.86184,                0.98462,                0.64841,                0.30155,                0.34034,                0.25875,                 1.0285,                 1.9187,                 1.0376,             0.00022077,             0.00022077,             0.00022077
                     55,                0.93342,                0.86493,                0.99127,                0.58769,                0.32302,                 0.3386,                0.25912,                 1.0299,                 1.9489,                 1.0409,             0.00021626,             0.00021626,             0.00021626
                     56,                0.92662,                0.84286,                0.98163,                0.62758,                0.30435,                0.33512,                0.25387,                 1.0406,                 1.9244,                  1.045,             0.00021176,             0.00021176,             0.00021176
                     57,                0.92393,                0.82685,                0.98503,                0.62331,                 0.3143,                0.34312,                0.26124,                 1.0191,                 1.9157,                 1.0364,             0.00020725,             0.00020725,             0.00020725
                     58,                0.92799,                 0.8263,                0.98216,                0.60769,                0.32343,                0.34179,                0.25877,                 1.0211,                 1.9254,                 1.0417,             0.00020275,             0.00020275,             0.00020275
                     59,                0.91302,                0.80711,                0.97787,                0.61553,                0.30945,                0.34321,                0.26351,                   1.01,                 1.9469,                 1.0293,             0.00019824,             0.00019824,             0.00019824
                     60,                0.91149,                0.81717,                0.97574,                0.55338,                0.33623,                0.34915,                0.26581,                 1.0276,                 1.9012,                 1.0432,             0.00019374,             0.00019374,             0.00019374
                     61,                  0.916,                0.80728,                0.98062,                0.65932,                0.31551,                0.34049,                0.26026,                 1.0092,                 1.9311,                 1.0358,             0.00018923,             0.00018923,             0.00018923
                     62,                0.90363,                0.80682,                0.97358,                0.58213,                0.32108,                0.35092,                0.26875,                 1.0157,                 1.8874,                 1.0372,             0.00018473,             0.00018473,             0.00018473
                     63,                0.90062,                0.78401,                0.97639,                0.68251,                0.30667,                0.35128,                0.26887,                 1.0186,                  1.882,                 1.0438,             0.00018023,             0.00018023,             0.00018023
                     64,                0.89231,                0.78555,                0.97666,                0.58655,                0.34168,                0.35762,                0.27383,                 1.0009,                 1.8296,                 1.0282,             0.00017572,             0.00017572,             0.00017572
                     65,                0.89555,                0.78372,                0.97212,                0.68586,                0.31284,                0.36876,                 0.2834,                 0.9936,                 1.8373,                 1.0283,             0.00017122,             0.00017122,             0.00017122
                     66,                0.91397,                0.79081,                0.97365,                0.64948,                0.33003,                0.36061,                0.27565,                 1.0012,                 1.7977,                 1.0323,             0.00016671,             0.00016671,             0.00016671
                     67,                 0.8918,                 0.7647,                0.97036,                0.70337,                0.32665,                0.36224,                 0.2753,                0.99561,                 1.8513,                 1.0287,             0.00016221,             0.00016221,             0.00016221
                     68,                0.88292,                0.76368,                0.96799,                0.69087,                0.32771,                0.36693,                0.28218,                0.98337,                  1.836,                 1.0308,              0.0001577,              0.0001577,              0.0001577
                     69,                0.88272,                0.75473,                0.96417,                 0.6569,                0.32518,                0.35841,                0.27409,                0.99625,                 1.8733,                 1.0313,              0.0001532,              0.0001532,              0.0001532
                     70,                0.88084,                0.73597,                0.96835,                0.60795,                0.33404,                0.35589,                0.27192,                0.99154,                 1.8686,                 1.0219,             0.00014869,             0.00014869,             0.00014869
                     71,                0.87853,                0.74597,                0.96394,                 0.5995,                 0.3389,                0.36781,                0.28233,                0.98184,                 1.8377,                 1.0189,             0.00014419,             0.00014419,             0.00014419
                     72,                0.87532,                0.74665,                0.96173,                0.68041,                  0.329,                0.36718,                 0.2814,                0.99913,                 1.8082,                 1.0277,             0.00013969,             0.00013969,             0.00013969
                     73,                0.88432,                0.73891,                0.96953,                 0.6445,                0.34042,                0.36682,                 0.2801,                0.98826,                 1.8299,                 1.0259,             0.00013518,             0.00013518,             0.00013518
                     74,                0.87385,                 0.7274,                0.96327,                0.67954,                0.32692,                0.36475,                0.28006,                0.99375,                 1.8288,                 1.0267,             0.00013068,             0.00013068,             0.00013068
                     75,                 0.8693,                0.72416,                0.95966,                0.71057,                 0.3254,                0.37036,                0.28346,                0.98753,                 1.8547,                 1.0249,             0.00012617,             0.00012617,             0.00012617
                     76,                0.86389,                0.71656,                0.96295,                0.69149,                0.32965,                  0.373,                0.28756,                0.99424,                 1.8331,                 1.0255,             0.00012167,             0.00012167,             0.00012167
                     77,                0.85512,                0.71917,                0.95415,                0.68363,                0.33992,                0.36911,                0.28367,                0.99662,                 1.8303,                 1.0302,             0.00011716,             0.00011716,             0.00011716
                     78,                0.85409,                0.70419,                0.94847,                 0.6682,                0.33772,                0.37182,                0.28451,                0.98895,                 1.8628,                 1.0266,             0.00011266,             0.00011266,             0.00011266
                     79,                0.85769,                0.70574,                0.96212,                0.71888,                0.32846,                0.37548,                0.28816,                0.99098,                 1.8226,                 1.0256,             0.00010815,             0.00010815,             0.00010815
